codigoSecuencialCliente,codigoPeriodo,codigoIdentificacionCliente,tipoIdentificacionCliente,numeroIdentificacionCliente,nombreCompletoCliente,correoElectronicoCliente,telefonoCliente,segmentoCliente,scoreCrediticioCliente,provinciaCliente,ciudadCliente,fechaRegistroCliente,periodo,fechaIngesta
1032,202602,CUS-00033,CÉDULA,0061477262,SR(A). CAMILA TERÁN,pradocecilia@yahoo.com,996.846.0810x620,RETAIL,395,GUAYAS,GUAYAQUIL,2025-01-15,2026-02-21,2026-02-21 19:17:59.877054
1033,202602,CUS-00034,RUC,5526279303001,TOMÁS JACINTO CARRASCO LOZADA,karina50@yahoo.com,(034)244-2043x80571,PYME,402,AZUAY,GUAYAQUIL,2023-02-20,2026-02-21,2026-02-21 19:17:59.877054
1034,202602,CUS-00035,PASAPORTE,P63580460,CRISTINA RENDÓN,vargasramiro@gmail.com,838.638.4066x6580,CORPORATIVO,445,AZUAY,QUITO,2024-10-08,2026-02-21,2026-02-21 19:17:59.877054
1035,202602,CUS-00036,RUC,3519490553001,FRIDA SANCHES DOMÍNGUEZ,perla41@yahoo.com,+43(9)7359893347,PYME,326,AZUAY,CUENCA,2024-11-06,2026-02-21,2026-02-21 19:17:59.877054
1036,202602,CUS-00037,CÉDULA,7377431223,SR(A). SOCORRO LUGO,rurbina@hotmail.com,(122)816-0648,PYME,829,PICHINCHA,QUITO,2025-04-08,2026-02-21,2026-02-21 19:17:59.877054
1037,202602,CUS-00038,CÉDULA,3943975576,ING. ELVIA CORRAL,cazaresbeatriz@yahoo.com,229-405-7202,RETAIL,978,MANABÍ,CUENCA,2021-10-18,2026-02-21,2026-02-21 19:17:59.877054
1038,202602,CUS-00039,CÉDULA,9971807334,CYNTHIA PAOLA TAMEZ ABREGO,ivonne85@gmail.com,1-909-479-8515,RETAIL,381,GUAYAS,GUAYAQUIL,2025-12-05,2026-02-21,2026-02-21 19:17:59.877054
1039,202602,CUS-00040,CÉDULA,7479098527,MTRO. MINERVA ALMARAZ,salvadorsaucedo@yahoo.com,328-182-6886x1533,RETAIL,727,PICHINCHA,MANTA,2025-02-07,2026-02-21,2026-02-21 19:17:59.877054
1040,202602,CUS-00041,CÉDULA,8560449356,JOS MALDONADO GRIJALVA,armentaalfonso@gmail.com,(555)439-8780x15739,PYME,883,MANABÍ,CUENCA,2021-10-08,2026-02-21,2026-02-21 19:17:59.877054
1041,202602,CUS-00042,CÉDULA,8056274848,FABIOLA VALVERDE BERRÍOS,mario87@gmail.com,305.616.4840x8588,PYME,778,MANABÍ,GUAYAQUIL,2022-11-10,2026-02-21,2026-02-21 19:17:59.877054
1042,202602,CUS-00043,CÉDULA,9384982389,MERCEDES BARRIENTOS TEJADA,itzelmatos@gmail.com,1-704-358-1128x801,PYME,461,GUAYAS,GUAYAQUIL,2021-03-16,2026-02-21,2026-02-21 19:17:59.877054
1043,202602,CUS-00044,RUC,5161102578001,CAROLINA VICTORIA ROLDÁN,lluna@yahoo.com,1-361-386-1207,RETAIL,701,GUAYAS,CUENCA,2024-07-24,2026-02-21,2026-02-21 19:17:59.877054
1044,202602,CUS-00045,CÉDULA,6354700591,DR. GABINO SUÁREZ,tvalladares@yahoo.com,1-501-102-4819x34667,WEALTH,807,GUAYAS,MANTA,2021-05-26,2026-02-21,2026-02-21 19:17:59.877054
1045,202602,CUS-00046,CÉDULA,4060380355,LIC. ERIC TIRADO,negreteisabel@hotmail.com,665-061-8091x90158,CORPORATIVO,337,PICHINCHA,GUAYAQUIL,2025-04-16,2026-02-21,2026-02-21 19:17:59.877054
1046,202602,CUS-00047,CÉDULA,7060627207,HUGO LEONOR NIÑO,penarodolfo@yahoo.com,04491476607,WEALTH,810,LOJA,CUENCA,2023-04-15,2026-02-21,2026-02-21 19:17:59.877054
1047,202602,CUS-00048,CÉDULA,2102115015,NOEMÍ RAZO,zambranomario@yahoo.com,(832)684-2450,PYME,692,GUAYAS,MANTA,2024-02-15,2026-02-21,2026-02-21 19:17:59.877054
1048,202602,CUS-00049,CÉDULA,2307662992,FERNANDO GARZA BARELA,ameliavergara@yahoo.com,(821)009-9688x1435,PYME,793,LOJA,MANTA,2021-03-06,2026-02-21,2026-02-21 19:17:59.877054
1049,202602,CUS-00050,CÉDULA,1066167086,ALEJANDRA ROLANDO URRUTIA GODÍNEZ,ofeliaolivares@gmail.com,1-682-223-9431,WEALTH,499,PICHINCHA,GUAYAQUIL,2023-07-17,2026-02-21,2026-02-21 19:17:59.877054
1050,202602,CUS-00051,PASAPORTE,P27675842,DR. ABRAHAM BATISTA,alonsovega@hotmail.com,(908)781-4141,PYME,554,LOJA,QUITO,2022-07-20,2026-02-21,2026-02-21 19:17:59.877054
1051,202602,CUS-00052,CÉDULA,2071277334,ESTELA BARRETO APARICIO,espinoaida@yahoo.com,1-975-523-1491,CORPORATIVO,478,AZUAY,QUITO,2021-07-20,2026-02-21,2026-02-21 19:17:59.877054
1052,202602,CUS-00053,RUC,5461696064001,ANGÉLICA NOELIA GRANADOS LEIVA,lourdes26@hotmail.com,1-577-594-9299,PYME,846,LOJA,GUAYAQUIL,2023-04-14,2026-02-21,2026-02-21 19:17:59.877054
1053,202602,CUS-00054,RUC,2231104391001,ERNESTO TIRADO,liliasanchez@hotmail.com,562.053.3645,CORPORATIVO,893,GUAYAS,MANTA,2024-03-24,2026-02-21,2026-02-21 19:17:59.877054
1054,202602,CUS-00055,CÉDULA,2663445814,REINA REYNALDO ROJAS,tbanuelos@gmail.com,577-754-7812,WEALTH,688,PICHINCHA,GUAYAQUIL,2024-10-14,2026-02-21,2026-02-21 19:17:59.877054
1055,202602,CUS-00056,RUC,2395709760001,MARIO LORENZO ESPINAL,ramiromelendez@hotmail.com,914-283-4110x80996,WEALTH,697,GUAYAS,CUENCA,2022-01-27,2026-02-21,2026-02-21 19:17:59.877054
1056,202602,CUS-00057,CÉDULA,1208718685,BEATRIZ PRADO MORENO,ysotelo@yahoo.com,1-308-488-7256x3942,PYME,457,AZUAY,QUITO,2022-07-18,2026-02-21,2026-02-21 19:17:59.877054
1057,202602,CUS-00058,CÉDULA,5399164514,LILIA ROBLES,maria-luisatejada@yahoo.com,1-881-658-0392x827,CORPORATIVO,303,GUAYAS,CUENCA,2021-09-18,2026-02-21,2026-02-21 19:17:59.877054
1058,202602,CUS-00059,CÉDULA,9385104859,ZACARÍAS CALVILLO BALLESTEROS,zoe49@yahoo.com,(299)275-0373,PYME,466,GUAYAS,GUAYAQUIL,2022-06-16,2026-02-21,2026-02-21 19:17:59.877054
1059,202602,CUS-00060,CÉDULA,6495485718,IVONNE CARDONA,fernandoleiva@hotmail.com,04530385677,RETAIL,767,GUAYAS,GUAYAQUIL,2024-08-23,2026-02-21,2026-02-21 19:17:59.877054
1060,202602,CUS-00061,CÉDULA,4690949150,ELISA ELIAS TERÁN,espartaco44@hotmail.com,+05(1)8449892665,RETAIL,708,MANABÍ,MANTA,2024-06-21,2026-02-21,2026-02-21 19:17:59.877054
1061,202602,CUS-00062,CÉDULA,2432947306,CLARA PICHARDO,minervamateo@yahoo.com,1-184-638-6557x7908,RETAIL,711,AZUAY,MANTA,2023-04-15,2026-02-21,2026-02-21 19:17:59.877054
1062,202602,CUS-00063,RUC,7251675547001,GERMÁN MARÍA TERESA HARO,rafael44@gmail.com,723-184-3222,RETAIL,503,GUAYAS,MANTA,2023-07-05,2026-02-21,2026-02-21 19:17:59.877054
1063,202602,CUS-00064,CÉDULA,0933223018,MARGARITA URBINA CALVILLO,wortega@gmail.com,913.651.7773,PYME,493,GUAYAS,CUENCA,2025-01-20,2026-02-21,2026-02-21 19:17:59.877054
1064,202602,CUS-00065,CÉDULA,9148870087,URIEL TOLEDO ALEJANDRO,alma41@yahoo.com,1-260-302-9922x8092,RETAIL,534,GUAYAS,MANTA,2021-08-27,2026-02-21,2026-02-21 19:17:59.877054
1065,202602,CUS-00066,CÉDULA,9862214251,EVA DE LA CRÚZ PALOMO,vhidalgo@yahoo.com,+24(2)8699041379,CORPORATIVO,449,PICHINCHA,GUAYAQUIL,2024-10-16,2026-02-21,2026-02-21 19:17:59.877054
1066,202602,CUS-00067,CÉDULA,2400986072,MAURICIO GALLARDO,eloytijerina@yahoo.com,723.692.9298x425,WEALTH,458,MANABÍ,MANTA,2024-03-12,2026-02-21,2026-02-21 19:17:59.877054
1067,202602,CUS-00068,RUC,7406455781001,ANA MARÍA DE ANDA,citlali19@hotmail.com,1-991-366-2103x886,WEALTH,578,PICHINCHA,QUITO,2022-01-30,2026-02-21,2026-02-21 19:17:59.877054
1068,202602,CUS-00069,CÉDULA,8989960694,ABELARDO ORELLANA,federicoarteaga@hotmail.com,912-799-0881,RETAIL,703,MANABÍ,MANTA,2025-05-31,2026-02-21,2026-02-21 19:17:59.877054
1069,202602,CUS-00070,PASAPORTE,P59646827,MARÍA ELENA GONZALO PIÑA VALADEZ,teodorogonzales@gmail.com,07298068650,RETAIL,977,GUAYAS,CUENCA,2024-04-14,2026-02-21,2026-02-21 19:17:59.877054
1070,202602,CUS-00071,CÉDULA,1613621960,CRISTAL ESPINAL,pedrazaisabel@hotmail.com,1-863-765-9916x24731,RETAIL,610,AZUAY,QUITO,2021-11-18,2026-02-21,2026-02-21 19:17:59.877054
1071,202602,CUS-00072,CÉDULA,7212479666,ESTEBAN ANA LUISA VENEGAS TORRES,rcamarillo@gmail.com,(986)430-0981,PYME,367,LOJA,QUITO,2021-09-28,2026-02-21,2026-02-21 19:17:59.877054
1072,202602,CUS-00073,CÉDULA,7035810916,HUMBERTO BÁEZ ARTEAGA,urbinacristina@yahoo.com,063-565-1269x4486,WEALTH,762,LOJA,QUITO,2023-02-23,2026-02-21,2026-02-21 19:17:59.877054
1073,202602,CUS-00074,RUC,2916126304001,LIC. NADIA TAMEZ,promero@gmail.com,1-594-636-8872x5887,RETAIL,387,GUAYAS,CUENCA,2022-07-05,2026-02-21,2026-02-21 19:17:59.877054
1074,202602,CUS-00075,CÉDULA,8789863400,ANA LUISA NANCY BLANCO,ines40@gmail.com,495-621-3721,CORPORATIVO,516,PICHINCHA,GUAYAQUIL,2022-02-06,2026-02-21,2026-02-21 19:17:59.877054
1075,202602,CUS-00076,CÉDULA,2713148048,ÁNGELA ROSARIO BARRETO,oswaldoarchuleta@gmail.com,1-865-890-2601,RETAIL,300,AZUAY,MANTA,2021-11-14,2026-02-21,2026-02-21 19:17:59.877054
1076,202602,CUS-00077,CÉDULA,0873944567,KARINA CARLA VARGAS,cdel-valle@yahoo.com,796-114-3519,WEALTH,434,MANABÍ,QUITO,2021-03-24,2026-02-21,2026-02-21 19:17:59.877054
1077,202602,CUS-00078,CÉDULA,7186337354,RICARDO ROSARIO ARENAS,vescamilla@yahoo.com,+66(9)8490277038,RETAIL,996,GUAYAS,QUITO,2022-02-19,2026-02-21,2026-02-21 19:17:59.877054
1078,202602,CUS-00079,CÉDULA,2918980927,SR(A). LOURDES VERGARA,aguirrehector@hotmail.com,(309)883-9205,WEALTH,650,AZUAY,QUITO,2025-06-18,2026-02-21,2026-02-21 19:17:59.877054
1079,202602,CUS-00080,CÉDULA,5445608239,ING. IGNACIO IBARRA,mezagloria@yahoo.com,021.465.6693,RETAIL,439,AZUAY,GUAYAQUIL,2023-01-15,2026-02-21,2026-02-21 19:17:59.877054
1080,202602,CUS-00081,RUC,0921107225001,YOLANDA HUMBERTO GRIEGO,gcervantes@yahoo.com,011-848-9554x3937,CORPORATIVO,917,MANABÍ,GUAYAQUIL,2023-10-07,2026-02-21,2026-02-21 19:17:59.877054
1081,202602,CUS-00082,CÉDULA,7883418728,LEONARDO CÉSAR MACÍAS REYNA,elisa15@gmail.com,904-268-1818x451,RETAIL,432,AZUAY,CUENCA,2024-08-22,2026-02-21,2026-02-21 19:17:59.877054
1082,202602,CUS-00083,CÉDULA,2819878417,ANTONIA ABRIL REYNOSO VALLADARES,thinojosa@gmail.com,489-476-9735x7790,CORPORATIVO,919,PICHINCHA,GUAYAQUIL,2026-01-15,2026-02-21,2026-02-21 19:17:59.877054
1083,202602,CUS-00084,CÉDULA,5749154401,ANTONIA TERRAZAS GALLARDO,mirandagustavo@hotmail.com,141.633.5658x804,CORPORATIVO,477,PICHINCHA,MANTA,2022-04-01,2026-02-21,2026-02-21 19:17:59.877054
1084,202602,CUS-00085,CÉDULA,7292771705,MTRO. CÉSAR MONTES,deliapalomino@yahoo.com,416.518.2755,RETAIL,657,PICHINCHA,CUENCA,2023-04-09,2026-02-21,2026-02-21 19:17:59.877054
1085,202602,CUS-00086,CÉDULA,7270884935,FELIPE NEGRÓN LINARES,asuncion61@gmail.com,1-942-373-3343,CORPORATIVO,679,AZUAY,CUENCA,2021-06-12,2026-02-21,2026-02-21 19:17:59.877054
1086,202602,CUS-00087,CÉDULA,6498269946,MARCELA PAMELA MADRID,mateomejia@gmail.com,339.521.1179,PYME,957,PICHINCHA,MANTA,2023-04-11,2026-02-21,2026-02-21 19:17:59.877054
1087,202602,CUS-00088,CÉDULA,1316108071,ING. ABRIL URRUTIA,ibarrajuan-carlos@gmail.com,+80(7)5957947284,RETAIL,749,MANABÍ,MANTA,2021-05-25,2026-02-21,2026-02-21 19:17:59.877054
1088,202602,CUS-00089,RUC,7252698145001,WILFRIDO BERNARDO CERVANTES JAIME,vjaramillo@yahoo.com,392-086-7808x562,RETAIL,885,AZUAY,MANTA,2021-09-09,2026-02-21,2026-02-21 19:17:59.877054
1089,202602,CUS-00090,CÉDULA,3331305095,BERNABÉ URIBE CORTÉS,ibarraursula@yahoo.com,1-187-500-3691x559,CORPORATIVO,762,LOJA,CUENCA,2022-12-16,2026-02-21,2026-02-21 19:17:59.877054
1090,202602,CUS-00091,CÉDULA,0597113236,GUILLERMINA SALMA GAITÁN MONTALVO,anelcasanova@yahoo.com,284-347-9552,CORPORATIVO,407,AZUAY,CUENCA,2025-11-08,2026-02-21,2026-02-21 19:17:59.877054
1091,202602,CUS-00092,CÉDULA,0529691130,TANIA GABINO SANTIAGO,cristobal68@hotmail.com,636.556.4729x293,RETAIL,421,MANABÍ,CUENCA,2024-09-12,2026-02-21,2026-02-21 19:17:59.877054
1092,202602,CUS-00093,CÉDULA,2866313520,FIDEL ÁVALOS,caridad45@hotmail.com,04386632270,PYME,316,LOJA,MANTA,2022-05-17,2026-02-21,2026-02-21 19:17:59.877054
1093,202602,CUS-00094,CÉDULA,7443528420,TANIA PIÑA LEBRÓN,estefaniacepeda@yahoo.com,(672)885-7448,CORPORATIVO,495,AZUAY,MANTA,2025-08-13,2026-02-21,2026-02-21 19:17:59.877054
1094,202602,CUS-00095,CÉDULA,9512087178,ABELARDO MERINO CEDILLO,maria-elenazelaya@yahoo.com,1-061-203-4717x5455,CORPORATIVO,626,PICHINCHA,QUITO,2022-01-18,2026-02-21,2026-02-21 19:17:59.877054
1095,202602,CUS-00096,CÉDULA,0471362479,CYNTHIA MARGARITA UREÑA PONCE,eulloa@hotmail.com,(845)061-5939x9824,WEALTH,617,GUAYAS,GUAYAQUIL,2021-02-20,2026-02-21,2026-02-21 19:17:59.877054
1096,202602,CUS-00097,CÉDULA,2386033858,SR(A). BRUNO BENÍTEZ,fernandoybarra@gmail.com,587.716.9472,PYME,778,GUAYAS,QUITO,2024-06-10,2026-02-21,2026-02-21 19:17:59.877054
1097,202602,CUS-00098,CÉDULA,5544177074,PATRICIO ALEJANDRO NEGRÓN,tsuarez@yahoo.com,(569)961-1253,PYME,551,PICHINCHA,MANTA,2022-09-30,2026-02-21,2026-02-21 19:17:59.877054
1098,202602,CUS-00099,CÉDULA,1158058752,ING. CONCEPCIÓN POSADA,vallebruno@gmail.com,1-544-964-7598,RETAIL,802,GUAYAS,CUENCA,2022-07-26,2026-02-21,2026-02-21 19:17:59.877054
1099,202602,CUS-00100,CÉDULA,7808553097,ALMA HOMERO NAVA,renatoteran@gmail.com,1-622-023-4132x611,PYME,418,GUAYAS,MANTA,2022-07-16,2026-02-21,2026-02-21 19:17:59.877054
1100,202602,CUS-00101,CÉDULA,1010080395,JORGE GAITÁN HARO,itzelsolis@yahoo.com,07800681149,RETAIL,973,PICHINCHA,GUAYAQUIL,2024-03-04,2026-02-21,2026-02-21 19:17:59.877054
1101,202602,CUS-00102,CÉDULA,6156991196,JOAQUÍN VALENCIA PALOMO,florezrodolfo@yahoo.com,164-334-7228,WEALTH,797,PICHINCHA,QUITO,2023-04-18,2026-02-21,2026-02-21 19:17:59.877054
1102,202602,CUS-00103,CÉDULA,0725858681,DR. EVA CURIEL,segoviamarisela@gmail.com,(005)577-8487,PYME,785,AZUAY,QUITO,2022-05-26,2026-02-21,2026-02-21 19:17:59.877054
1103,202602,CUS-00104,CÉDULA,7713633595,LILIANA ALBERTO DUARTE,gcenteno@yahoo.com,829-979-6884,CORPORATIVO,344,AZUAY,CUENCA,2023-08-06,2026-02-21,2026-02-21 19:17:59.877054
1104,202602,CUS-00105,RUC,9289156829001,LILIA YOLANDA GUZMÁN JARAMILLO,dvalle@hotmail.com,783.174.5642,WEALTH,613,PICHINCHA,QUITO,2022-10-23,2026-02-21,2026-02-21 19:17:59.877054
1105,202602,CUS-00106,CÉDULA,2637646215,BIANCA JUANA ARELLANO,umanzanares@gmail.com,(008)254-7807,RETAIL,478,MANABÍ,QUITO,2021-09-11,2026-02-21,2026-02-21 19:17:59.877054
1106,202602,CUS-00107,CÉDULA,1254782922,ESTELA FELICIANO,ahernandez@hotmail.com,406.493.0853x686,WEALTH,717,GUAYAS,MANTA,2024-06-26,2026-02-21,2026-02-21 19:17:59.877054
1107,202602,CUS-00108,CÉDULA,5060497343,JERÓNIMO MAGAÑA,ricardobeltran@gmail.com,326-634-1638x944,RETAIL,855,AZUAY,QUITO,2024-07-21,2026-02-21,2026-02-21 19:17:59.877054
1108,202602,CUS-00109,CÉDULA,3710283941,ESPARTA ALBERTO ESPINOZA,smontanez@gmail.com,846-312-2417x97497,WEALTH,377,GUAYAS,QUITO,2024-12-28,2026-02-21,2026-02-21 19:17:59.877054
1109,202602,CUS-00110,CÉDULA,3113569229,ISAAC LEIVA,barrientosmariana@gmail.com,1-502-080-2144,RETAIL,625,LOJA,QUITO,2021-10-16,2026-02-21,2026-02-21 19:17:59.877054
1110,202602,CUS-00111,CÉDULA,5217402973,GERMÁN MONTOYA SAUCEDO,lucas22@hotmail.com,703-120-7356,PYME,989,PICHINCHA,CUENCA,2022-12-10,2026-02-21,2026-02-21 19:17:59.877054
1111,202602,CUS-00112,CÉDULA,6916445857,OMAR MERAZ,ynoriega@yahoo.com,(757)051-2046,CORPORATIVO,656,MANABÍ,CUENCA,2025-03-10,2026-02-21,2026-02-21 19:17:59.877054
1112,202602,CUS-00113,RUC,6831650881001,CAMILO IBARRA DOMÍNGUEZ,fnunez@hotmail.com,08723460136,RETAIL,715,LOJA,MANTA,2024-11-08,2026-02-21,2026-02-21 19:17:59.877054
1113,202602,CUS-00114,RUC,2440773692001,MTRO. ALFONSO CARDONA,ursulamontero@gmail.com,1-303-718-3764x520,WEALTH,814,LOJA,QUITO,2024-01-31,2026-02-21,2026-02-21 19:17:59.877054
1114,202602,CUS-00115,CÉDULA,5998043708,LIC. JAIME MARTÍNEZ,pabloorozco@hotmail.com,881.474.3503x13650,RETAIL,513,LOJA,CUENCA,2024-02-29,2026-02-21,2026-02-21 19:17:59.877054
1115,202602,CUS-00116,RUC,5384440077001,SAMUEL SEGURA,espartaacosta@gmail.com,(491)630-0979,RETAIL,373,PICHINCHA,CUENCA,2022-05-01,2026-02-21,2026-02-21 19:17:59.877054
1116,202602,CUS-00117,RUC,5311843906001,JUDITH VELÁZQUEZ ESPINAL,marisol86@hotmail.com,513-271-9500,RETAIL,862,AZUAY,MANTA,2022-07-09,2026-02-21,2026-02-21 19:17:59.877054
1117,202602,CUS-00118,CÉDULA,2544400293,ALVARO MARCO ANTONIO ABREU SOLÍS,pgodinez@yahoo.com,281.273.5857,WEALTH,878,PICHINCHA,GUAYAQUIL,2024-01-23,2026-02-21,2026-02-21 19:17:59.877054
